Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR	SQ
118	Spectrogram 1	1	1452.799281907	1454.002316561	8889.300	27233.700	-73.68	1.2030	13125.000	Yes - FJ	9.8	
119	Spectrogram 1	1	1456.510427856	1457.237938677	9131.800	18101.900	-72.96	0.7275	11132.812	No	10.6	
120	Spectrogram 1	1	1457.809469217	1458.480079751	404.100	41699.100	-52.86	0.6706	937.500	No	31.1	
121	Spectrogram 1	1	1458.626876711	1459.687660646	8485.300	26748.800	-73.53	1.0608	17109.375	Yes - FJ	10	
122	Spectrogram 1	1	1460.867796828	1461.973288131	8646.900	26506.400	-69.85	1.1055	11718.750	Yes - FJ	13.9	
123	Spectrogram 1	1	1462.463582410	1463.268315050	8000.400	18021.100	-70.00	0.8047	9609.375	No	13.8	
124	Spectrogram 1	1	1483.344176428	1483.974143899	1454.600	24162.800	-69.05	0.6300	1992.188	Yes - DC, BP	14.7	3
125	Spectrogram 1	1	1496.405651451	1497.218512704	7192.300	14627.000	-73.20	0.8129	7265.625	No	10.3	
126	Spectrogram 1	1	1502.004666824	1502.837849608	7434.700	13818.900	-76.23	0.8332	9492.188	No	6.9	
127	Spectrogram 1	1	1506.662302552	1507.641800362	7758.000	21011.200	-80.81	0.9795	9140.625	No	6.4	
128	Spectrogram 1	1	1447.766105329	1448.659572430	8339.350	18249.097	-75.61	0.8935	17460.938	No		2
