Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
149	Spectrogram 1	2	1394.675915585	1394.813234750	927.835	59690.722	0.1373	-58.29	48984.375	No		2	
150	Spectrogram 1	2	1397.132435893	1397.480819700	1855.670	14845.361	0.3484	-61.73	5390.625				Weird
151	Spectrogram 1	2	1398.827434996	1398.921524053	2164.948	6030.928	0.0941	-78.99	2460.938	No		3	
152	Spectrogram 1	2	1399.854785786	1400.271829176	1391.753	34639.175	0.4170	-63.49	5742.188				Weird thing repeated
153	Spectrogram 1	2	1403.031890948	1403.413333073	1546.392	21804.124	0.3814	-69.95	5625.000				Weird n = 3
154	Spectrogram 1	2	1405.882102762	1406.273716677	1701.031	21649.485	0.3916	-73.36	6093.750				n = 4 + whistles
155	Spectrogram 1	2	1411.982683348	1412.114916618	3092.784	15154.639	0.1322	-71.37	4570.312	No		2	
156	Spectrogram 1	2	1412.198833885	1412.318352418	5103.093	16701.031	0.1195	-76.27	6796.875	No		2	
157	Spectrogram 1	2	1417.826891592	1417.954038967	2706.186	15309.278	0.1271	-71.43	3632.812	Yes - FJ		2	
158	Spectrogram 1	2	1418.017612655	1418.226134350	5025.773	8659.794	0.2085	-75.71	6679.688	No		2	
159	Spectrogram 1	2	1426.884487787	1427.039607585	3556.701	12603.093	0.1551	-76.20	8203.125	No		2	
160	Spectrogram 1	2	1427.082837692	1427.202356225	6185.567	8969.072	0.1195	-78.85	6679.688	No		2	
161	Spectrogram 1	2	1426.429300185	1426.508131557	4097.938	6881.443	0.0788	-82.90	4453.125	No		3	
162	Spectrogram 1	2	1435.910421733	1436.179974168	3092.784	9896.907	0.2696	-75.95	3750.000	No		2	
163	Spectrogram 1	2	1449.438325425	1449.545129220	2783.505	8427.835	0.1068	-72.29	3515.625	No		2	
164	Spectrogram 1	2	1449.654475962	1449.786709232	5644.330	8659.794	0.1322	-86.72	6210.938	No		2	
165	Spectrogram 1	2	1460.910591377	1461.012309277	4097.938	10128.866	0.1017	-77.00	9023.438	No		2	
166	Spectrogram 1	2	1461.103855387	1461.215745077	6030.928	9587.629	0.1119	-79.19	6328.125	No		2	
167	Spectrogram 1	2	1469.287824521	1469.470916741	6030.928	11288.660	0.1831	-73.61	8671.875	Yes - FJ		1	
168	Spectrogram 1	2	1472.884516020	1473.095580663	386.598	19329.897	0.2111	-67.79	820.312	No		2	
169	Spectrogram 1	2	1476.190148114	1476.434271074	541.237	28840.206	0.2441	-60.13	585.938	Yes - DC		2	
170	Spectrogram 1	2	1478.112632936	1478.440673163	1082.474	22577.320	0.3280	-59.19	3984.375	Yes - DC		2	Weird
171	Spectrogram 1	2	1480.157179237	1480.386044512	1701.031	29381.443	0.2289	-57.83	24609.375	Yes - DC		2	
172	Spectrogram 1	2	1480.406388092	1480.520820729	773.196	17551.546	0.1144	-68.74	6562.500	No		2	
173	Spectrogram 1	2	1483.546495921	1483.765189406	2087.629	16855.670	0.2187	-70.71	4101.562	Yes - DC		3	
174	Spectrogram 1	2	1487.887805681	1488.025124846	3402.062	10592.784	0.1373	-70.20	3984.375	No		2	
175	Spectrogram 1	2	1491.776703466	1491.875878418	5567.010	10515.464	0.0992	-77.88	7734.375	No		2	
176	Spectrogram 1	2	1492.145430853	1492.272578228	3247.423	14149.485	0.1271	-66.00	6093.750	No		1	
177	Spectrogram 1	2	1492.346323706	1492.455670448	6108.247	8505.155	0.1093	-75.29	6914.062	No		1	
178	Spectrogram 1	2	1494.712212104	1494.831730636	3170.103	12216.495	0.1195	-60.72	4335.938	No		1	
179	Spectrogram 1	2	1494.923276746	1495.024994646	5721.649	7268.041	0.1017	-73.00	6093.750	No		2	
180	Spectrogram 1	2	1496.965512778	1497.110460786	3247.423	14304.124	0.1449	-63.87	3398.438	No		2	
181	Spectrogram 1	2	1497.204549843	1497.313896586	5798.969	7577.320	0.1093	-79.62	6328.125	No		2	
182	Spectrogram 1	2	1498.338488261	1498.450377951	2396.907	10128.866	0.1119	-80.49	3398.438	No		3	
183	Spectrogram 1	2	1498.562267641	1498.646184909	7190.722	8814.433	0.0839	-77.14	8085.938	No		1	
